"","Fire_ID","avg_cmi","avg_vpd"
"232","COC9_2006_1654",-0.23,5.3
"233","NIP276_2006_1655",-1.42,5.78666666666667
"234","NIP413_2006_1656",-1.51,5.82666666666667
"235","NIP411_2006_1657",-1.68,6.02
"236","NIP380_2006_1663",-1.59,6.07333333333333
"237","NIP338_2006_1664",-1.26,6.35857142857143
"238","SLK40_2006_1672",0.7,5.8225
"239","RED69_2006_1673",0.43,6.0475
"240","SLK38_2006_1674",1.14,6.4225
"241","SLK42_2006_1675",1.51,5.565
"242","RED188_2006_1676",-0.39,5.86333333333333
"243","RED186_2006_1677",-0.79,5.99
"244","RED184_2006_1678",-0.16,6.00666666666667
"245","RED16_2006_1679",-0.47,6.0825
"246","RED192_2006_1680",-1.06,5.87166666666667
"247","SLK48_2006_1681",0.82,6.77
"248","RED193_2006_1682",0.07,5.96166666666667
"249","RED44_2006_1683",-1.69,6.8125
"250","NIP81_2006_1684",-0.12,6.12
"251","COC34_2006_1686",-0.41,6.762
"252","THU154_2006_1687",-0.7,6.70833333333333
"253","THU133_2006_1688",-1.51,7.71
"254","THU192_2006_1689",-1.16,7.11833333333333
"255","THU232_2006_1690",-1.13,7.03333333333333
"256","DRY79_2006_1692",-3.05,6.605
"257","RED11_2007_1562",0.91,5.12
"258","NIP40_2007_1564",2.91,5.42333333333333
"259","DRY8_2007_1565",3.54,4.545
"260","KEN41_2007_1566",2.46,6.77
"261","THU36_2007_1584",1.95,4.12
"262","TIM3_2007_1585",1.37,5.08
"263","SUD46_2007_1586",0.14,4.935
"264","SAU13_2007_1587",0.41,5.39
"265","PEM2_2007_1588",1.27,5.75
"266","SLK11_2007_1658",7.48,4.675
"267","DRY10_2007_1659",4.29,4.615
"268","NIP26_2007_1660",3.47,4.15
"269","THU39_2007_1661",3.9,4.24
"270","THU37_2007_1662",0.45,5.22
"271","RED7_2008_1665",0.66,4.8
"272","SLK34_2008_1666",2.34,5.574
"273","SLK29_2008_1667",1,5.4575
"274","THU38_2008_1668",3.52,6.4925
"275","COC14_2009_1703",3.14,4.72333333333333
"276","SLK22_2009_1704",1.87,4.11333333333333
"277","SLK17_2009_1705",2.06,4.17666666666667
"278","SLK10_2009_1706",2.23,4.11
"279","SLK13_2009_1707",2.34,4.14333333333333
"280","NIP23_2009_1708",2.38,4.07333333333333
"281","NIP21_2009_1709",2.51,3.96666666666667
"282","NIP20_2009_1710",2.53,4
"283","NIP19_2009_1711",2.62,3.97333333333333
"284","SLK23_2009_1712",2.75,3.82
"285","NIP13_2009_1713",2.98,4.07666666666667
