"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class"
"22","COC10_2005_1519",2005,"2005-05-27",146,"2004-10-31",304,108,"2005-04-19",169,"2005-03-26",194.9808921,79.75885767,71.55999756,84,24,38,74.6438217163086,53.7310218811035,105.772071838379,5.72784042358398,81.2113699083363,13.0741630162948,259.5454479,477.635190029475,0.581645131,350,1
"23","NIP20_2005_1521",2005,"2005-06-21",171,"2004-10-19",292,108,"2005-04-19",181,"2005-03-29",167.9520025,68.27493013,42.01250076,87,21,63,107.415519714355,75.3913116455078,96.9455718994141,20.4031238555908,142.334487744913,15.0655590601685,295.4473562,460.783296586067,0.583330631,13623,3
"24","NIP52_2005_1522",2005,"2005-07-26",206,"2004-09-17",260,105,"2005-04-16",210,"2005-03-27",140.8121542,53.09505232,40.30999756,85,20,101,77.4769439697266,59.452262878418,79.2132263183594,18.5635738372803,266.133248767257,18.1190827039572,337.2656486,492.249083730916,0.436991513,134,1
"25","THU30_2005_1525",2005,"2005-07-25",205,"2004-10-03",276,109,"2005-04-20",198,"2005-03-29",207.6580087,86.43904742,61.5,87,22,96,102.18106842041,70.490966796875,94.6733856201172,9.93292999267578,328.494306092475,18.396116009959,166.4663387,272.792759362931,0.484222859,429,1
"26","THU57_2005_1526",2005,"2005-08-07",218,"2004-10-13",286,105,"2005-04-16",184,"2005-03-28",154.3019078,61.10283411,41.84883924,86,19,113,72.720573425293,53.8135566711426,81.1620941162109,14.4364757537842,414.175328803019,19.1674274065485,124.9559996,261.259334794959,0.707384109,6000,2
"27","THU67_2005_1528",2005,"2005-08-08",219,"2004-10-05",278,107,"2005-04-18",194,"2005-03-28",199.294619,82.23998493,57.68000031,86,21,112,89.7830429077148,60.4044799804688,91.2460479736328,10.263466835022,389.248105339279,19.2915459640462,108.872735,189.581303844654,0.581949949,2326,2
"28","TIM56_2005_1529",2005,"2005-07-18",198,"2004-10-17",290,100,"2005-04-11",175,"2005-03-27",174.8102394,66.33925334,55.81500244,85,15,98,72.7978363037109,52.174259185791,82.3894500732422,2.07451462745667,157.047282959415,19.7129113355021,295.2758044,487.253508189107,0.41890806,67,1
"29","FOR18_2005_1520",2005,"2005-08-01",212,"2004-10-03",276,105,"2005-04-16",194,"2005-03-27",97.06316424,33.16422735,15.52750015,85,20,107,69.2440338134766,52.1072006225586,71.0545272827148,12.3899078369141,322.645697167025,19.8121274634253,108.6817978,262.894242154029,0.794505775,84,1
"30","NIP80_2005_1523",2005,"2005-08-18",229,"2004-10-01",274,113,"2005-04-24",204,"2005-03-27",102.6686872,38.77635534,17.29000092,85,28,116,74.7704544067383,58.2282257080078,72.4830474853516,49.1989898681641,273.093469926508,19.9801821392622,166.9678461,256.557289640942,0.55975759,4400,2
"31","THU65_2005_1527",2005,"2005-08-10",221,"2004-10-03",276,113,"2005-04-24",202,"2005-03-29",191.2516255,77.3400748,54.30833054,87,26,108,74.8179473876953,51.5748634338379,89.0625076293945,15.7124042510986,355.736271838616,19.8817314157675,111.1280802,190.690778787748,0.643021882,1574,2
"32","SLK11_2007_1658",2007,"2007-05-11",130,"2006-10-04",276,114,"2007-04-25",203,"2007-03-20",107.580315,38.10078507,20.79634457,78,36,16,63.4753837585449,53.812255859375,74.2605438232422,16.4070682525635,10.605929357438,17.8385855309798,228.0298135,393.856258489604,0.571050346,16702,3
