"","Fire_ID","lat","long","el","FIRE_START","Fire_Year","StartBurnDay","interp_date","month","dmc","ffmc","dc"
"350","KLK5_2010_1772",48.60038079,-80.65569769,273.0884327,2010-05-13,2010,2010-05-13,2010-05-13,5,20.5744814458039,92.2107531248586,80.2774837125669
"351","TIM9_2010_1773",48.46243308,-81.29451419,349.9244163,2010-05-19,2010,2010-05-19,2010-05-19,5,35.8474142788683,92.2574495298133,113.856125897171
"352","TIM7_2010_1774",48.45853795,-81.62880299,329.8088643,2010-05-19,2010,2010-05-19,2010-05-19,5,37.2103499729327,92.4523234524544,118.826535108708
"353","WAW18_2010_1775",47.91080394,-84.15562172,424.9723558,2010-05-27,2010,2010-05-28,2010-05-28,5,71.7205078285023,90.41089536933,183.917810029114
"354","TIM13_2010_1776",47.47905764,-81.32997844,393.9705526,2010-05-26,2010,2010-05-26,2010-05-26,5,66.4865675870991,89.7116701541087,166.100301780354
"355","RED65_2011_1777",51.93487099,-94.92956212,337.9227373,2011-07-04,2011,2011-07-18,2011-07-18,7,78.1625206890447,91.3070095568451,328.748538606454
"356","RED114_2011_1778",51.64827985,-94.62174603,366.2200074,2011-07-15,2011,2011-07-15,2011-07-15,7,65.0139403703648,85.3124444590898,279.666945695092
"357","RED107_2011_1779",53.70975948,-92.93286571,285.2990456,2011-07-04,2011,2011-07-18,2011-07-18,7,75.4229650675788,89.3105777360056,351.47244741826
"358","RED118_2011_1780",53.53594243,-93.63827915,285.5294535,2011-07-09,2011,2011-07-18,2011-07-18,7,99.3956383716948,89.9219975364622,367.812800980455
"359","SLK85_2011_1781",53.47998125,-89.77860976,239.150336,2011-07-05,2011,2011-07-18,2011-07-18,7,50.3616185949503,87.8945607951333,325.129645010361
"360","SLK87_2011_1782",53.38747097,-90.92919378,258.8410549,2011-07-13,2011,2011-07-16,2011-07-16,7,45.7371703085744,91.5545582514611,312.423417500281
"361","RED100_2011_1783",53.37813064,-93.83259554,325.2138275,2011-07-09,2011,2011-07-17,2011-07-17,7,94.5035567742217,89.7072270982384,355.162388242802
"362","RED54_2011_1784",53.28363481,-93.05976572,313.2241195,2011-07-03,2011,2011-07-17,2011-07-17,7,83.5806491770313,89.4760350212432,343.903866454142
"363","SLK48_2011_1785",53.29968288,-89.82691146,251.8648359,2011-07-01,2011,2011-07-04,2011-07-04,7,71.7181831683906,89.5132337637309,232.245688609929
"364","SLK88_2011_1786",53.73264006,-92.00165828,252.1112681,2011-07-13,2011,2011-07-18,2011-07-18,7,45.444075107558,88.6408224598775,330.218008751864
"365","RED55_2011_1787",52.55782978,-93.08236323,330.316932,2011-07-04,2011,2011-07-19,2011-07-19,7,52.4148689876693,86.506270949434,349.671250983887
"366","SLK47_2011_1788",52.41115055,-89.27639325,308.789723,2011-07-01,2011,2011-07-03,2011-07-03,7,45.538155375365,90.9425845821154,202.764729103616
"367","RED32_2011_1789",52.3040256,-94.04735318,361.4620438,2011-06-29,2011,2011-07-06,2011-07-06,7,52.204054306761,86.2972826677364,247.432425079846
"368","RED123_2011_1790",52.33477993,-94.76009262,361.1446221,2011-07-20,2011,2011-07-19,2011-07-19,7,71.9665886823847,85.050048922099,362.639949098022
"369","NIP40_2011_1791",52.23992822,-88.56439663,278.1870661,2011-07-08,2011,2011-07-11,2011-07-11,7,37.6706935171305,90.2409199415534,231.435174250648
"370","RED53_2011_1792",52.27436204,-92.54184735,394.0247633,2011-07-04,2011,2011-07-07,2011-07-07,7,37.6302561895625,62.5713363411456,243.184771888242
"371","RED120_2011_1793",52.27938562,-94.96249374,339.7818314,2011-07-15,2011,2011-07-20,2011-07-20,7,64.8728664361191,67.0931555025272,369.820419135827
"372","RED122_2011_1794",52.24716094,-93.83673372,382.5014599,2011-07-20,2011,2011-07-20,2011-07-20,7,55.946083349699,76.3226451097255,362.103539079467
"373","RED23_2011_1795",52.22174827,-94.83841514,348.8873085,2011-07-02,2011,2011-07-05,2011-07-05,7,51.9905319277347,92.64,223.58891672539
"374","RED24_2011_1796",53.11147256,-94.1827659,286.0735189,2011-06-30,2011,2011-07-04,2011-07-04,7,73.3859905734063,88.0000078280174,247.637883309349
"375","RED22_2011_1797",53.14553282,-94.00216685,287.4787424,2011-06-30,2011,2011-07-03,2011-07-03,7,73.8268384086478,89.1914224876745,233.341529273318
"376","SLK38_2011_1798",53.11664233,-91.38601237,290.1688126,2011-06-13,2011,2011-06-18,2011-06-18,6,36.0508341821918,90.0611714579765,96.6763028877361
"377","RED58_2011_1799",53.02194099,-93.60440775,272,2011-07-04,2011,2011-07-07,2011-07-07,7,76.4232881621543,66.9671336451473,262.877165738741
"378","RED82_2011_1800",52.89748584,-92.93296769,302.5827054,2011-07-10,2011,2011-07-17,2011-07-17,7,68.0844452492326,90.1645169770308,337.495236059067
"379","RED73_2011_1801",52.9172704,-94.75336452,313.0983136,2011-07-06,2011,2011-07-06,2011-07-06,7,81.6584013237122,91.4824170263943,260.654642122641
"380","RED101_2011_1802",52.88253253,-93.96658697,322.9859662,2011-07-09,2011,2011-07-09,2011-07-09,7,69.8879821755702,83.3281592512617,282.389133472009
"381","RED106_2011_1803",52.80936469,-93.27078448,323.7850198,2011-07-09,2011,2011-07-21,2011-07-21,7,41.5600109767515,66.3323301681134,346.254009871007
"382","RED96_2011_1804",52.75427376,-93.64495199,317.671124,2011-07-04,2011,2011-07-18,2011-07-18,7,71.9544018550827,88.8175493178263,359.649034144773
"383","SLK50_2011_1805",52.67350357,-89.74297791,301.536903,2011-07-03,2011,2011-07-16,2011-07-16,7,55.5108886595061,92.6069785538986,297.40400082233
"384","RED26_2011_1806",52.66279889,-93.99710704,347.038961,2011-07-01,2011,2011-07-01,2011-07-01,7,57.8753068530469,83.2240713868699,217.054306218328
"385","SLK70_2011_1807",52.49332895,-90.46344878,353.1900436,2011-07-07,2011,2011-07-09,2011-07-09,7,64.3838695555701,80.8020871658666,253.552295156013
"386","SLK51_2011_1808",52.62368746,-89.62379863,313.3900761,2011-07-03,2011,2011-07-16,2011-07-16,7,57.169978816529,92.4483517168522,294.161747928713
