"","Fire_ID","SweMax","doPS"
"265","RED100_2011_1783",112.39297490637,121
"266","RED54_2011_1784",107.772671102838,121
"267","SLK48_2011_1785",93.6837580408131,109
"268","SLK47_2011_1788",114.22841716973,109
"269","RED32_2011_1789",133.022696586185,102
"270","RED123_2011_1790",99.2100617623544,89
"271","NIP40_2011_1791",119.467809913923,109
"272","RED53_2011_1792",126.771647305491,108
"273","RED120_2011_1793",93.5422577432379,89
"274","RED24_2011_1796",106.126929286994,121
"275","RED22_2011_1797",101.367680271506,121
"276","RED73_2011_1801",98.4992110005925,89
"277","RED101_2011_1802",99.1037989739873,107
"278","RED106_2011_1803",106.156746185611,107
"279","RED96_2011_1804",107.188907781602,107
"280","SLK50_2011_1805",100.427663568023,109
"281","SLK51_2011_1808",106.235255196457,109
"282","RED29_2011_1809",111.727974765814,108
"283","SLK76_2011_1810",96.2885227962225,108
"284","NIP55_2011_1811",118.683378944265,109
"285","RED50_2011_1813",131.445879330457,108
"286","RED52_2011_1814",125.111998472232,108
"287","RED72_2011_1816",96.7459813256621,89
"288","SLK82_2011_1824",114.372748325445,109
"289","THU58_2011_1825",93.4913716698129,108
"290","THU50_2011_1826",92.3698526730732,108
"291","COC25_2011_1827",164.340534998543,109
"292","THU80_2011_1830",91.0818807139811,108
"293","FOR42_2011_1834",60.1386979157638,364
"294","FOR17_2011_1836",55.2625625033339,72
"295","RED7_2009_1725",81.9561226128095,100
"296","SLK25_2009_1726",91.3271698304164,100
"297","SLK24_2009_1727",90.5336150890474,90
"298","KEN28_2015_1959",84.6195772218219,67
"299","RED10_2015_1960",81.2963284763238,88
"300","COC12_2015_1961",163.736995841602,98
"301","SUD38_2015_1970",128.128290014513,90
"302","KEN5_2015_1971",59.6420928751728,67
"303","RED50_2015_1999",56.9495193698,67
"304","NIP38_2015_1995",92.5145922017652,97
"305","SLK32_2015_1980",63.5558525540318,96
"306","RED7_2015_1998",71.5975932409896,78
"307","RED59_2015_1962",33.9691575952478,97
"308","SLK55_2015_1963",52.9700058024368,97
"309","NIP20_2015_1965",76.2421540368961,97
"310","RED24_2015_1966",56.0730655424057,67
"311","SLK19_2015_1967",74.6784956190321,97
"312","RED44_2015_1968",51.5880652663618,67
"313","SLK53_2015_1969",76.5957843265018,96
"314","NIP31_2015_1972",84.6640935902941,97
"315","NIP32_2015_1973",90.4045165769516,97
"316","SLK23_2015_1974",113.851318863203,97
"317","SLK30_2015_1975",105.933241932662,97
"318","NIP24_2015_1976",92.4636044184947,97
"319","COC13_2015_1977",118.266164212293,98
"320","NIP23_2015_1979",76.9065405532642,97
"321","SLK21_2015_1981",99.1000272590775,96
"322","SLK67_2015_1982",53.9632578093976,97
"323","RED25_2015_1983",45.7128329359982,67
"324","NIP19_2015_1984",73.3363061329675,97
"325","SLK36_2015_1985",94.8337959226149,97
"326","RED11_2015_1986",83.0523383576991,88
"327","RED58_2015_1987",31.4469441013572,96
"328","SLK62_2015_1988",66.9266108921596,97
"329","SLK41_2015_1989",88.6258936642228,96
"330","NIP30_2015_1990",89.6827471917061,97
"331","NIP17_2015_1991",67.1875931170082,97
"332","SLK28_2015_1992",113.379937395637,96
"333","RED17_2015_1993",22.1039905078136,96
"334","RED16_2015_1994",25.6399010405375,96
"335","RED46_2015_1996",55.5779077882913,67
"336","SLK57_2015_1997",65.4603908896719,96
