"","Fire_ID","ppt_tsm","tmax_tsm"
"97","RED15_2006_1595",160.906853180977,17.1084798530296
"98","SLK45_2006_1599",133.400841920692,17.9562830004776
"99","RED163_2006_1625",364.571004370605,20.4580411607887
"100","RED146_2006_1628",329.628655363669,20.399621336235
"101","RED113_2006_1629",340.914738230256,20.5324540603912
"102","RED69_2006_1673",212.879206175653,18.9781211065868
"103","SLK38_2006_1674",268.783426083602,19.5701187304026
"104","SLK42_2006_1675",191.866050502395,18.5936852623435
"105","RED188_2006_1676",313.682596138866,20.0870287820778
"106","RED184_2006_1678",296.612484350024,20.4557072241702
"107","RED16_2006_1679",138.158706512659,18.0777179291259
"108","SLK48_2006_1681",336.549441451311,20.4129651151182
"109","RED193_2006_1682",307.983862072551,20.3519817129809
"110","COC14_2006_1606",18.4847203882307,14.540731501135
