"","Fire_ID","Fire_Year","Fire_Start","BurnDay","Snow_Acc","SnowAccDay","SnowMeltDay","Snow_Melt","SnowCoverDays","ymdPS","peakSnow","sweMean","sweMedian","doPS","tdps","tssm","avg_cmi","avg_vpd","avgBio","cc","age"
"49","NIP323_2006_1607",2006,2006-09-16,258,2005-11-02,305,85,2006-03-27,145,2006-05-18,47.81121224,16.70013587,6.889999866,137,-52,173,-1.37,6.22428571428571,38.8509712219238,35.8728981018066,52.2906761169434
"50","NIP328_2006_1608",2006,2006-09-09,251,2005-09-30,272,85,2006-03-27,178,2006-10-15,45.32481927,15.41280853,5.659999847,287,-202,166,-1.44,6.37571428571429,65.2501678466797,58.5117645263672,68.9649887084961
"51","NIP296_2006_1609",2006,2006-09-15,257,2005-10-07,279,85,2006-03-27,171,2006-12-23,53.914381,19.33951882,7.650000095,356,-271,172,-1.33,6.02285714285714,50.5238189697266,42.5095748901367,66.1404418945312
"52","THU189_2006_1610",2006,2006-09-15,257,2005-11-13,316,85,2006-03-27,134,2006-03-07,81.99724774,30.72518066,27.39999962,65,20,172,-1.29,6.04285714285714,62.2501602172852,53.0707893371582,59.7820129394531
"53","THU185_2006_1633",2006,2006-09-15,257,2005-11-12,315,85,2006-03-27,135,2006-12-31,81.06146373,21.00339447,5.340000153,364,-279,172,-0.73,6.49857142857143,99.2238540649414,72.3177337646484,86.265983581543
"54","THU144_2006_1638",2006,2006-09-17,259,2005-09-30,272,105,2006-04-16,198,2006-12-31,86.97557086,25.56656742,13.66499996,364,-259,154,-1.42,7.02833333333333,62.7766189575195,60.8821716308594,65.6213150024414
"55","THU249_2006_1639",2006,2006-09-10,252,2005-11-02,305,85,2006-03-27,145,2006-12-31,62.09759546,15.16748393,1.910000086,364,-279,167,-0.91,6.47714285714286,78.8308944702148,56.7421035766602,66.2085800170898
"56","THU163_2006_1640",2006,2006-09-15,257,2005-11-12,315,85,2006-03-27,135,2006-12-31,56.12337737,13.90444057,2.079999924,364,-279,172,-1.09,6.50857142857143,48.6206436157227,42.8151435852051,58.7372398376465
"57","THU143_2006_1642",2006,2006-09-12,254,2005-09-30,272,105,2006-04-16,198,2006-12-31,80.85655075,24.98050738,14.36999989,364,-259,149,-1.71,7.13166666666667,54.9178733825684,41.6935729980469,66.6502990722656
"58","NIP344_2006_1643",2006,2006-09-16,258,2005-11-12,315,109,2006-04-20,159,2006-12-31,131.0957937,53.89603408,54.51499939,364,-255,149,-1.35,6.04833333333333,48.6215858459473,37.6838989257812,78.9874420166016
"59","NIP226_2006_1644",2006,2006-09-08,250,2005-09-30,272,118,2006-04-29,211,2006-12-31,50.81754937,14.17603216,3.960000038,364,-246,132,-1.96,6.78833333333333,75.659065246582,60.8222465515137,73.1303482055664
"60","NIP414_2006_1648",2006,2006-09-14,256,2005-11-12,315,109,2006-04-20,159,2006-12-31,131.6008629,55.0828196,57.2460022,364,-255,147,-1.5,6.00666666666667,76.7361068725586,58.2923469543457,92.5655136108398
"61","COC8_2006_1649",2006,2006-05-10,129,2005-11-18,321,109,2006-04-20,153,2006-03-22,217.543905,85.7985457,73.73000336,80,29,20,-0.18,5.2,72.7496337890625,59.7684211730957,79.8728713989258
"62","THU151_2006_1650",2006,2006-09-08,250,2005-09-15,257,83,2006-03-25,191,2006-12-31,68.01757158,20.77605425,6.980000019,364,-281,167,-0.92,6.37857142857143,25.345100402832,56.5835113525391,44.3714485168457
"63","NIP108_2006_1651",2006,2006-07-19,199,2005-11-09,312,110,2006-04-21,163,2006-12-31,129.5457335,52.21030111,52.49124908,364,-254,89,-1.76,5.82,65.3649597167969,60.6371879577637,85.4665298461914
"64","THU176_2006_1652",2006,2006-09-08,250,2005-11-12,315,83,2006-03-25,133,2006-12-31,70.27127464,28.46076859,26.14999962,364,-281,167,-0.8,6.31,19.0141201019287,28.7009143829346,30.0087547302246
"65","THU167_2006_1653",2006,2006-09-09,251,2005-09-29,271,106,2006-04-17,200,2006-12-31,78.00314571,24.49128572,14.19999981,364,-258,145,-1.82,7.12666666666667,81.0030288696289,63.4681663513184,72.9301605224609
