"","Fire_ID","BurnDay"
"578","NIP61_2012_1930",204
"579","SLK47_2012_1932",195
"580","FOR59_2012_1935",248
"581","RED62_2012_1936",200
"582","RED70_2012_1937",195
"583","SLK51_2003_1403",172
"584","SLK70_2003_1431",173
"585","NIP81_2003_1437",227
"586","RED93_2003_1545",230
"587","SLK80_2003_1547",198
"588","RED4_2014_2019",155
"589","SLK13_2014_1881",220
"590","RED8_2014_1882",156
"591","RED29_2014_2017",230
"592","RED17_2014_2020",193
"593","RED124_2011_1958",212
"594","NIP92_2003_1402",228
"595","NIP68_2003_1407",196
"596","RED90_2003_1422",228
"597","RED91_2003_1438",229
"598","SLK101_2003_1480",232
"599","NIP72_2003_1483",197
"600","SLK94_2003_1494",229
"601","RED82_2003_1498",202
"602","NIP95_2003_1500",229
"603","SLK71_2003_1538",203
"604","NIP59_2003_1555",173
"605","NIP79_2003_1558",228
"606","DRY5_2003_1418",99
"607","FOR11_2003_1420",120
"608","NIP42_2003_1430",167
"609","SLK66_2003_1432",173
"610","FOR14_2003_1484",123
"611","SLK65_2003_1488",169
"612","RED32_2010_1751",146
"613","RED44_2010_1753",235
"614","RED26_2010_1755",139
"615","RED25_2010_1756",138
"616","NIP35_2010_1767",169
"617","HEA31_2010_1768",177
"618","HEA20_2010_1770",144
"619","FOR3_2010_1771",87
"620","KLK5_2010_1772",133
"621","TIM9_2010_1773",139
"622","TIM7_2010_1774",139
"623","WAW18_2010_1775",147
"624","TIM13_2010_1776",146
"625","SLK49_2010_1730",176
"626","SLK63_2010_1729",199
"627","NIP41_2010_1731",176
"628","SLK65_2010_1732",205
"629","SLK64_2010_1733",199
"630","NIP27_2010_1734",136
"631","NIP45_2010_1752",171
"632","RED7_2008_1665",172
"633","SLK34_2008_1666",244
"634","SLK29_2008_1667",230
"635","THU38_2008_1668",234
"636","SLK97_2006_1591",242
"637","NIP151_2006_1592",218
"638","SLK44_2006_1593",195
"639","RED14_2006_1594",165
"640","RED15_2006_1595",168
"641","NIP327_2006_1596",257
"642","THU187_2006_1598",252
"643","SLK118_2006_1590",252
"644","THU246_2006_1597",256
"645","SLK1_2003_1453",168
"646","SLK4_2003_1401",186
"647","RED27_2011_1701",185
"648","RED93_2011_1738",188
"649","SLK132_2011_1740",219
"650","RED111_2011_1742",201
"651","RED113_2011_1743",201
"652","KEN91_2011_1748",223
"653","WAW12_2011_1749",158
"654","TIM34_2011_1750",268
"655","SLK40_2011_1693",169
"656","SLK46_2011_1694",168
"657","SLK45_2011_1695",181
"658","NIP34_2011_1696",182
"659","SLK79_2011_1697",197
"660","NIP47_2011_1698",197
"661","SLK75_2011_1699",196
"662","SLK147_2011_1700",253
"663","RED91_2011_1702",184
"664","RED35_2011_1721",184
"665","RED121_2011_1722",185
"666","RED66_2011_1723",186
"667","RED67_2011_1724",186
"668","NIP54_2011_1735",201
"669","SLK103_2011_1736",201
"670","SLK101_2011_1737",199
"671","SLK57_2011_1739",181
"672","SLK55_2011_1741",187
"673","RED112_2011_1744",198
"674","SLK71_2011_1745",186
"675","THU57_2011_1746",212
"676","NIP94_2011_1747",219
"677","THU21_2009_1719",168
"678","COC16_2009_1720",176
"679","SLK22_2009_1704",172
"680","SLK17_2009_1705",168
"681","SLK10_2009_1706",167
"682","SLK13_2009_1707",168
