"","X.1","X","Fire_ID","Fire_Year","Fire_Start","BurnDay","SnowAccDay","sdd","scf","tssm","sweMean","sweMedian","avgBio","cc","age","tri","ppt_tsm","tmax_tsm","RBR_median","RBR_quant","RBR_cv","FIRE_FINAL","size_class","dmc","ffmc","dc","pyroregion","ecoregion"
"54",54,54,"THU163_2006_1640",2006,"2006-09-15",257,315,100,0.39,157,13.90444057,2.079999924,48.6206436157227,42.8151435852051,58.7372398376465,18.4641971588135,378.864835190215,19.2455782025416,137.2827621,217.018378346044,0.563432038,2586,2,57.90441730178,89.1716541249001,448.602180015727,1,"Lake Nipigon"
"55",55,55,"THU143_2006_1642",2006,"2006-09-12",254,272,99,0.41,155,24.98050738,14.36999989,54.9178733825684,41.6935729980469,66.6502990722656,7.41626310348511,339.019964501996,21.1523287482011,106.1819733,236.730740454035,0.623957098,2365,2,53.3461042730898,87.5014168706363,405.580232324193,1,"Lake Nipigon"
"56",56,56,"NIP344_2006_1643",2006,"2006-09-16",258,315,100,0.44,158,53.89603408,54.51499939,48.6215858459473,37.6838989257812,78.9874420166016,34.8410034179688,276.597838854108,20.023361222737,194.1019767,257.630864824452,0.3479774,753,2,46.3304224576094,85.8921019036513,460.766297355521,1,"Lake Nipigon"
"57",57,57,"NIP226_2006_1644",2006,"2006-09-08",250,272,110,0.38,140,14.17603216,3.960000038,75.659065246582,60.8222465515137,73.1303482055664,110.093292236328,275.670717715534,21.3601895089136,325.3620103,409.32068541112,0.254598916,95,1,60.1119012887397,90.4766513737652,452.415973549207,1,"Lake Nipigon"
"58",58,58,"NIP414_2006_1648",2006,"2006-09-14",256,315,103,0.44,153,55.0828196,57.2460022,76.7361068725586,58.2923469543457,92.5655136108398,64.8777313232422,273.255141550977,19.920507388242,149.2642875,195.259356933164,0.338111579,1494,2,43.5373391720551,87.9373354046394,452.284729889702,1,"Lake Nipigon"
"59",59,59,"COC8_2006_1649",2006,"2006-05-10",129,321,107,0.46,22,85.7985457,73.73000336,72.7496337890625,59.7684211730957,79.8728713989258,5.20128583908081,17.8285583557772,15.1656953557564,261.3707704,355.742976098164,0.344917774,130,1,8.82875241060816,90.450154958607,24.4364799499244,0,"Lake Abitibi"
"60",60,60,"THU151_2006_1650",2006,"2006-09-08",250,257,99,0.44,151,20.77605425,6.980000019,25.345100402832,56.5835113525391,44.3714485168457,9.28119659423828,441.51527606328,18.9445812432836,210.5706157,330.299236707722,0.432597369,43,1,65.2788402739216,90.9138585219694,434.320490211281,1,"Lake Nipigon"
"61",61,61,"NIP108_2006_1651",2006,"2006-07-19",199,312,99,0.43,100,52.21030111,52.49124908,65.3649597167969,60.6371879577637,85.4665298461914,21,193.125666899681,18.3758802541097,249.3591543,398.130593840952,0.44557932,42,1,32.5022414147616,87.4505638092702,297.002229238627,1,"Lake Nipigon"
"62",62,62,"THU176_2006_1652",2006,"2006-09-08",250,315,99,0.43,151,28.46076859,26.14999962,19.0141201019287,28.7009143829346,30.0087547302246,19.9852695465088,449.589410932698,18.8896521960988,259.040892,357.991013312676,0.347253174,68,1,65.2829032339072,90.8967578959652,433.81051011034,1,"Lake Nipigon"
"63",63,63,"THU167_2006_1653",2006,"2006-09-09",251,271,105,0.43,146,24.49128572,14.19999981,81.0030288696289,63.4681663513184,72.9301605224609,10.6439504623413,340.036657667502,21.2496051514429,260.2236652,475.706370181338,0.56761837,201,1,47.5555798551559,68.4892350841602,385.584781308101,1,"Lake Nipigon"
"64",64,64,"COC9_2006_1654",2006,"2006-05-10",129,319,107,0.45,22,82.14080759,68.25,70.1461334228516,58.0645751953125,61.8104248046875,9.44908046722412,17.6226216728623,15.2165920747293,288.2982219,427.434011904477,0.374625236,97,1,9.06564484417733,90.6203052034563,25.0361356094362,0,"Lake Abitibi"
"65",65,65,"NIP411_2006_1657",2006,"2006-09-13",255,296,97,0.43,158,44.18630322,41.43999863,75.3895492553711,53.2446784973145,96.4326934814453,29.5396575927734,252.824818900815,19.828396593325,143.4935056,203.570774192179,0.491639614,811,2,40.4239710643066,87.4123040149562,441.01476052273,1,"Lake Nipigon"
"66",66,66,"NIP338_2006_1664",2006,"2006-09-12",254,320,99,0.39,155,16.68679466,4.190000057,50.1032943725586,37.5951309204102,60.1593208312988,37.8466148376465,371.055262168346,18.9810044387044,126.8846641,191.01927689352,0.378006816,2714,2,47.5351390756384,86.5558993060862,434.188702759116,1,"Lake Nipigon"
"67",67,67,"SLK48_2006_1681",2006,"2006-08-31",242,262,116,0.46,126,41.0272943,43.22000122,67.5546798706055,61.217830657959,91.6487655639648,2.12020897865295,336.549441451311,20.4129651151182,127.8986529,404.283453425041,0.902788997,49,1,18.3615567858956,86.9410522363281,253.247098604765,1,"Big Trout Lake"
