"","tri","Fire_ID"
"192",4.61077976226807,"NIP45_2013_1867"
"193",9.29198169708252,"NIP45_2018_2132"
"194",17.2877388000488,"NIP45_2020_2208"
"195",5.36468696594238,"NIP46_2017_1955"
"196",1.11969316005707,"NIP46_2020_2203"
"197",0.853982746601105,"NIP47_2002_182"
"198",7.94488334655762,"NIP47_2011_1698"
"199",4.55642080307007,"NIP47_2020_2196"
"200",1.4710533618927,"NIP48_2002_180"
"201",5.04001092910767,"NIP48_2013_1860"
"202",4.90449237823486,"NIP49_2012_1763"
"203",8.02075576782227,"NIP49_2018_2152"
"204",14.7825489044189,"NIP5_2018_2048"
"205",5.08666276931763,"NIP50_2013_1866"
"206",6.13718223571777,"NIP51_2002_94"
"207",3.20456624031067,"NIP51_2013_1874"
"208",31.5878391265869,"NIP51_2020_2206"
"209",4.58923816680908,"NIP52_2001_3"
"210",18.5635738372803,"NIP52_2005_1522"
"211",8.04006385803223,"NIP53_2001_1"
"212",1.16295278072357,"NIP53_2013_1872"
"213",6.5428900718689,"NIP53_2018_2122"
"214",2.99999976158142,"NIP54_2001_40"
"215",4.67127656936646,"NIP54_2002_173"
"216",3.88375759124756,"NIP54_2011_1735"
"217",3.1875479221344,"NIP54_2017_2027"
"218",5.69915914535522,"NIP55_2001_66"
"219",4.71303606033325,"NIP55_2002_164"
"220",6.62614297866821,"NIP55_2011_1811"
"221",6.9632420539856,"NIP56_2002_174"
"222",10.2852935791016,"NIP58_2003_1421"
"223",3.5841498374939,"NIP59_2003_1555"
"224",0,"NIP59_2012_1762"
"225",4.91598176956177,"NIP60_2012_1848"
"226",10.8909358978271,"NIP61_2012_1930"
"227",5.54909563064575,"NIP62_2012_1912"
"228",1.41421353816986,"NIP63_2012_1764"
"229",9.12732410430908,"NIP64_2017_1957"
"230",14.9810037612915,"NIP65_2017_2103"
"231",32.1297187805176,"NIP66_2011_1835"
"232",1.52992510795593,"NIP68_2003_1407"
"233",8.00118446350098,"NIP68_2017_2080"
"234",16.8341503143311,"NIP70_2006_1583"
"235",7.67403650283813,"NIP72_2001_68"
"236",1.47802078723907,"NIP72_2003_1483"
"237",16.3991374969482,"NIP73_2001_41"
"238",5.48466682434082,"NIP73_2017_2084"
"239",3.71682691574097,"NIP74_2001_70"
"240",46.0031280517578,"NIP75_2002_76"
"241",6.86330127716064,"NIP75_2017_1954"
"242",9,"NIP77_2001_49"
"243",14.0425500869751,"NIP77_2017_2079"
"244",1.76671814918518,"NIP78_2017_1942"
"245",4.77568912506104,"NIP79_2002_189"
"246",3.83670568466187,"NIP79_2003_1558"
