"","long","lat","V3","DATE"
"160",-93.62157099,49.43569611,10.6330463646887,"2007-08-02"
"161",-86.95544914,49.18221588,5.86559393376427,"2006-09-07"
"162",-90.86360282,49.17396046,12.2444288279756,"2006-09-07"
"166",-87.50179106,49.10781183,6.23350579810172,"2006-09-07"
"194",-88.23575109,49.25976028,10.1686341117601,"2006-09-07"
"195",-87.86614215,49.24760694,8.43296061772673,"2006-09-07"
"201",-87.62229495,49.00508968,5.9540557894586,"2006-09-07"
"203",-86.78523049,48.97928001,4.8751241897177,"2006-09-07"
"220",-94.3749284,52.39799413,3.43943284431753,"2006-09-07"
"229",-87.74377165,49.48477154,9.65123490932048,"2006-09-07"
"232",-88.45266869,49.45021423,12.4121290629057,"2006-09-07"
"233",-86.71124688,49.42696939,7.04273764985718,"2006-09-07"
"238",-89.22692998,49.40059401,15.1102648274411,"2006-09-07"
"240",-89.24542789,49.38897517,15.0737331039786,"2006-09-07"
"163",-86.79014678,49.13666802,5.11596811014503,"2006-09-14"
"164",-86.84679723,49.13743025,5.08428959880652,"2006-09-14"
"192",-87.03787469,49.28027103,5.00790926997592,"2006-09-14"
"202",-86.75021655,48.99743885,5.43468172176303,"2006-09-14"
"206",-86.78356014,48.91171167,6.06497391519068,"2006-09-14"
"236",-86.73102235,49.37563178,6.11397290745307,"2006-09-14"
"244",-86.76063507,49.29214214,5.61736601856992,"2006-09-14"
"165",-87.03862668,49.10235627,4.44652851085578,"2006-09-15"
"168",-87.45322716,49.05183282,4.44437915498957,"2006-09-15"
"169",-87.11533513,49.05210716,4.43057336657011,"2006-09-15"
"188",-88.9066385,49.44822028,5.88516081560057,"2006-09-15"
"193",-86.68425734,49.25223736,4.49004446437847,"2006-09-15"
"199",-88.51489257,49.18375704,5.40351397711178,"2006-09-15"
"200",-88.78899048,49.03295029,5.6600736924088,"2006-09-15"
"204",-88.60973451,49.04933811,5.42734811904999,"2006-09-15"
"221",-89.41656135,49.58671157,6.15680348060177,"2006-09-15"
"228",-89.15383414,49.49161601,6.1060798382,"2006-09-15"
"235",-90.32781147,49.41865637,6.69742957453689,"2006-09-15"
"276",-88.95238801,49.98199671,4.9789154113447,"2006-09-15"
"167",-88.90922525,49.0894726,0.745200640304625,"2006-09-08"
"198",-88.92438957,49.20227085,0.929630859961908,"2006-09-08"
"205",-86.74467969,48.9194447,0.344819126914896,"2006-09-08"
"241",-90.1847415,49.3804,2.14238661222728,"2006-09-08"
"170",-94.71452013,52.23560337,1.95218253631954,"2006-08-25"
"171",-94.75947168,52.25256415,4.77329073709945,"2006-09-06"
"266",-93.96450772,52.75993092,4.506014058918,"2006-09-06"
"172",-94.30013023,52.3233276,3.15304541962834,"2006-09-02"
"173",-87.4177105,52.05230904,3.74839158120683,"2006-09-02"
